attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,attribute_6,attribute_7,attribute_8,attribute_9,attribute_10,attribute_11,attribute_12,attribute_13,attribute_14,attribute_15,attribute_16,attribute_17,attribute_18,attribute_19,attribute_20,attribute_21,attribute_22,attribute_23,attribute_24,attribute_25,attribute_26,attribute_27,attribute_28,attribute_29,attribute_30,attribute_31,attribute_32,attribute_33,attribute_34,attribute_35,attribute_36,attribute_37,attribute_38,attribute_39,attribute_40,attribute_41,attribute_42,attribute_43,attribute_44,attribute_45,attribute_46,attribute_47,attribute_48,attribute_49,attribute_50,attribute_51,attribute_52,attribute_53,attribute_54,attribute_55,attribute_56,attribute_57,attribute_58,attribute_59,attribute_60,class
-1.098866,-0.975018,-0.745085,-0.436131,-0.795692,-1.288717,-1.329494,-1.263609,-1.230732,-1.213096,-1.407735,-1.075312,-0.928656,-1.077178,-1.253008,-1.236994,-1.131244,-1.183111,-1.48267,-1.723365,-1.645967,-0.987853,-0.834514,-0.42638,-0.040925,0.201214,0.257453,0.68079,1.373262,1.545518,1.148286,1.321814,1.735874,0.874699,0.422676,0.246298,0.128769,0.415276,0.58722,0.356502,-0.537966,-1.346504,-1.203236,-0.65402,-0.289736,-0.684132,-0.945949,-0.609196,-0.810171,-0.960412,-0.821814,-0.74945,0.182833,-0.786333,-0.52068,0.187996,-0.625736,-1.182261,-0.427307,-0.577855,0
-0.733505,-0.228658,-0.700847,-0.485564,-0.709287,-1.596641,-1.67584,-0.903078,-0.555828,-0.928159,-1.365536,-1.181686,-0.501591,-0.248478,-0.648413,-0.753435,-1.022778,-0.640151,0.300744,0.798596,0.683194,0.888003,-0.462775,-1.285376,-0.318967,0.538022,1.212444,0.73054,-0.04984,-0.551883,-0.516259,-0.850886,-0.656229,-0.601679,-0.45101,-0.435587,0.148359,0.553791,0.342588,-0.330271,-0.649005,-0.846884,-1.402526,-1.353243,-0.711161,-0.556461,-0.405426,-0.751786,-1.071616,0.093374,0.227443,-0.012476,2.236559,1.569571,-0.266716,0.623831,-0.90229,0.193353,-1.139122,-0.418842,0
-0.924885,-0.905237,-0.997504,-0.620967,-0.734488,-0.845442,-1.11586,-0.457992,-0.651277,-0.626855,-0.951836,-0.918964,-0.609421,0.253728,0.012163,-0.456422,-0.082234,0.729867,0.861622,1.158386,1.389894,1.408553,1.203256,0.547624,0.032158,-0.785179,-1.600422,-2.575263,-0.999685,-1.56978,-1.467227,-1.479764,-1.188883,-0.727089,-0.554432,-0.075524,-0.106734,-0.848732,-1.139771,-1.132346,-1.080888,-1.152108,-0.773,-0.991628,-0.853614,-0.704291,-0.025909,-0.356059,-1.021552,0.451954,0.110859,0.433861,0.281979,-0.293237,0.071902,-1.102077,-0.331898,-0.332162,-0.330241,-0.657361,0
-0.87704,-0.978052,-0.482257,-0.107297,0.801006,0.919202,0.282472,-0.423936,-0.69689,-0.139561,-0.349747,0.031975,0.950573,0.013569,-0.146531,0.662426,-0.052273,-1.128815,-0.784576,-0.656177,-0.988527,-0.705302,-0.022284,-0.888916,-0.304269,0.712959,0.53874,0.307248,-0.557645,-0.538746,0.156662,0.461738,-0.158923,-0.186529,1.341512,1.481338,0.091672,-1.28165,0.213993,1.680234,0.360865,-0.279107,-0.194555,0.682905,-0.023295,-0.027111,-0.857396,-0.602788,-1.03824,-0.997002,0.219116,-0.78059,-0.171257,1.158658,-0.182062,1.216568,1.379278,-0.409444,1.772848,0.734001,0
-0.729155,0.147557,0.431137,-0.193267,-0.27906,-1.168593,-1.111005,-1.180229,-0.614956,0.027831,-0.542656,-0.429216,0.20782,-0.575581,-1.270533,-0.599555,-0.1907,-0.273079,0.341444,0.254531,-0.112328,-0.652153,-0.807733,-1.269485,-0.125848,0.818343,0.796416,-0.826446,-1.285221,-1.567062,-1.631719,-0.339718,0.081255,-0.410969,-0.347974,0.098638,0.776505,0.343906,1.125711,1.066784,0.139956,0.011301,-0.082319,0.117975,-0.539029,-0.658747,-0.694088,-0.955258,-0.192714,-0.272524,-0.688575,-0.531472,-0.709475,0.884715,1.34172,-0.491907,0.618756,1.800811,1.093389,-0.061063,0
0.027666,0.699742,0.550841,0.821177,1.553451,2.111985,1.551329,0.804453,-0.271169,-0.915511,0.087314,0.815858,0.031177,-0.084927,0.017031,0.236464,0.560598,0.012166,-0.271375,0.305549,-0.837257,-1.66238,-1.171078,1.019779,1.068388,-1.002692,-1.730278,-0.137966,0.668995,-0.729007,0.068809,1.205981,0.784359,2.100258,1.519413,1.243568,1.65766,0.471621,-0.125076,0.028508,-0.04881,0.068197,-1.395331,-0.205378,-0.276546,0.019925,0.031593,-0.26634,-0.187152,-1.026273,-0.05569,-1.071228,0.650233,-0.526088,1.680338,-0.108372,1.275571,-0.471269,1.950802,0.157579,0
0.262541,-0.814217,-0.643597,-0.150282,-0.027045,0.235677,0.753438,0.226664,-0.265256,0.617047,-0.024212,-0.189339,-0.186612,-0.854651,0.140676,-0.204971,-0.705724,-0.88716,-0.9904,-0.572035,-1.137469,-0.020224,-0.246127,-1.393274,-1.712039,-0.590008,0.457325,0.00032,0.234864,1.291383,0.413681,-0.340656,1.248253,2.017227,1.509379,1.402207,0.896549,0.618119,-1.00766,1.665122,2.588658,1.893024,0.694696,-0.253393,0.267547,1.357112,1.240296,-0.360866,-0.843547,1.9375,2.209373,2.198447,0.721051,0.610773,0.227102,-0.596508,0.290348,-0.996785,-0.103754,0.03832,0
-0.433386,0.675471,-0.156974,0.505238,1.144827,-0.400474,-1.051122,-1.32585,-0.627626,-0.667029,-0.846338,-0.643392,0.558269,0.920093,0.276004,0.849402,0.859448,0.866755,0.817434,-0.062617,-0.268251,0.046603,0.551313,0.430526,-0.397767,-0.90068,-1.156307,-1.890155,-2.374504,-2.353927,-1.508817,0.048114,0.873458,-0.106958,-0.552116,0.727895,2.173265,2.353548,0.156728,0.011716,1.872164,2.130684,0.175247,-0.541485,-0.469781,-0.237657,-0.49973,-0.136567,0.001979,0.086056,1.659762,2.042748,0.338633,0.145071,0.212993,-1.01491,-0.573882,-0.656745,0.527172,0.197333,0
-0.094122,-0.887033,-0.763301,-0.560788,-0.612081,-0.488452,-0.309877,-0.246606,-0.832885,-0.418546,-0.516282,-0.808307,-0.973349,-0.985371,-0.515032,0.674461,1.012666,0.411739,-0.757831,-0.915454,-0.644098,-0.261741,-0.274907,-0.231496,0.562522,1.188873,1.140392,0.938391,0.417174,0.872809,1.60204,1.388876,1.209998,0.886808,0.892706,0.803997,0.865705,0.866507,-0.167774,-0.882153,-0.519849,-0.445647,-0.185921,-0.272149,-0.408447,-0.174195,-0.546882,-0.708529,-0.540381,-0.184708,-0.96338,-0.521092,-1.375166,-1.252035,-0.351371,-0.753409,0.722463,0.811606,-0.152287,0.455728,0
-0.720456,-0.714096,0.527421,2.564215,3.263556,2.560336,2.799147,3.243616,2.705505,2.854881,2.616239,2.08235,1.943038,1.427771,0.865995,1.375515,1.567132,1.267857,1.22753,1.42109,1.51634,1.165083,0.547316,-0.525495,-0.895059,-0.453852,-0.640547,-1.251846,-2.305409,-1.551206,-1.420496,-1.783652,-0.788424,-0.874986,-1.387983,-0.871372,-1.01123,-0.446334,-0.0437,0.046419,0.092619,-1.153886,-0.862932,-0.569994,-0.55156,-0.814043,-1.324316,-1.019343,-0.409658,-0.60915,-0.064017,-0.438053,-1.021075,-0.156266,0.396411,-1.328711,1.776824,0.224265,0.591883,-0.041187,0
0.788836,0.37814,0.990623,1.532577,1.85587,3.424893,2.897871,1.19082,1.731582,1.247182,0.498001,0.290414,-0.306503,-0.945243,-0.788609,-0.582362,0.119149,0.55092,0.657349,0.890352,0.86433,0.613659,0.861895,0.26868,-1.074705,-1.855881,-1.477486,-1.328999,-0.804471,0.213691,1.123519,1.377621,1.710209,1.659593,0.818998,0.761592,1.144973,1.822965,1.52104,1.23358,0.687554,-0.587888,-0.604646,0.28978,-0.045718,0.027391,-0.713639,-1.12989,-0.231653,-0.21398,-0.447079,0.610319,0.154506,-0.621968,-0.718207,-0.491907,-0.504744,0.038789,-0.831747,-0.756744,0
1.619599,0.578383,1.050475,-0.358759,-0.529276,-0.464766,-0.722579,-0.256001,0.483981,-0.181966,0.383461,1.161395,0.648364,-0.59686,-0.176226,0.109235,0.636069,0.867519,0.402299,-0.294102,-1.103336,-1.653001,-1.753869,-2.107989,-1.743477,-1.796866,-1.643572,-0.963468,0.236945,0.754123,1.360443,1.683853,1.231305,1.258281,1.356176,1.635813,2.198274,3.10059,2.760274,2.210287,2.285346,1.846203,1.548694,1.124045,-0.316776,-0.291413,0.093696,0.454621,0.163296,0.225098,-0.213911,0.070563,1.174287,-0.909607,-0.802861,-0.980043,-0.936859,1.275296,0.47864,0.276839,0
-0.837894,0.30229,-0.362553,-0.519952,-0.180054,0.052953,1.853978,1.217831,-1.440214,-0.149232,-0.68131,-0.435641,0.314231,-0.988411,-0.502863,-0.570327,-0.595741,-0.66424,-1.065984,-1.893932,-1.803442,-1.978931,-1.919353,-2.067423,-1.746743,-1.866841,-2.436547,-0.667923,0.29272,0.218221,-0.134937,0.761874,1.470031,0.952108,0.694352,1.391228,2.114911,2.749372,3.240496,3.461816,3.566385,3.039246,2.255202,0.523104,1.605687,2.91231,3.572598,3.189466,4.065508,4.206067,1.95955,0.402721,0.593579,0.076585,1.539247,0.989933,-0.850436,1.244383,0.430107,1.370051,0
-0.768301,-0.711062,-0.786721,-0.994935,-0.973903,0.020807,-0.314732,-1.066315,-0.717163,-1.003299,-1.220854,-1.342318,-1.190428,-1.083866,-0.720945,-0.516168,-0.351882,-0.27002,-0.312074,-0.53815,-0.636728,-0.847164,-1.264613,-1.13524,-0.934254,-0.750614,0.215932,1.080471,1.489808,1.483456,1.513252,1.491579,1.496179,0.916647,0.676986,0.722595,0.702728,0.129325,-0.798191,-1.257163,-1.312901,-0.528621,0.156541,0.559865,0.243146,0.046057,-0.240969,0.449815,0.513744,-0.272524,-0.447079,-0.448432,-1.290184,-0.348025,-0.407807,-0.980043,-0.850436,-0.656745,-0.152287,-0.478472,0
0.005918,0.787728,-0.125747,-0.786458,-0.496874,-0.388631,-0.363285,-1.213111,-0.881877,-0.90956,-1.466513,-1.449406,-1.346499,-1.232826,-0.845077,-1.279117,-1.130486,-0.896336,-0.667517,-0.903271,-1.543569,-1.540059,-1.242628,-1.031943,-0.875869,-1.851665,-2.502493,-1.719405,-0.339122,1.148235,1.425866,1.341042,1.876785,2.336374,2.344089,1.935297,0.782758,-0.168834,-0.462136,-0.408632,0.248658,0.61523,-0.640619,0.065458,-0.25742,-0.129398,0.470912,0.350482,0.132702,-0.521334,0.077549,-1.029708,-0.780293,-0.361722,-0.21028,-0.125806,0.463194,1.244383,0.252153,-1.074769,0
-0.39424,-1.087276,-0.781517,-1.025025,-1.114311,-1.513739,-1.09482,-1.336419,-1.076999,-0.733241,-1.144745,-1.113864,-1.084726,-1.547768,-1.543623,-1.557217,-1.34097,-0.916219,-0.624879,-0.691965,-0.878759,-0.577901,-0.062656,0.333084,0.784221,0.75427,0.358,0.597312,1.336218,1.725813,1.958595,2.116236,2.680609,2.428053,1.530604,0.552218,-0.383501,-0.677818,-0.946377,-0.003956,0.524502,0.783548,0.640017,0.643142,0.511565,0.311852,-0.208767,-0.738969,-0.507005,-0.601832,-0.73854,-0.271974,-0.525348,-0.635665,-0.887516,-1.241544,-1.230697,-0.857678,-0.362596,-0.418842,0
-0.611717,-0.195284,0.418126,1.09843,0.739802,1.164526,0.746965,-0.268919,-0.75264,-0.652893,-1.140224,-0.702647,-0.303665,-0.104991,0.098325,0.318992,1.058176,1.637987,1.5915,0.72778,0.250331,0.352993,0.745577,0.407524,0.097484,-0.192078,-0.806632,-0.849213,-0.59469,-0.746674,-1.595269,-1.869472,-1.711853,-0.462863,-0.12222,-0.750594,-1.318009,-0.89193,-0.42848,-0.633638,0.165086,-0.239398,-0.539176,-0.436451,-0.274567,-0.884225,-0.841295,-0.70212,-0.835203,-1.062863,-0.621955,-0.75983,-1.304348,-0.348025,0.495175,-0.491907,-1.161559,-0.934959,-0.912635,-0.061063,0
-0.498629,-0.255963,-0.391177,-0.311475,-0.219657,-0.879279,-0.85691,-0.839662,-0.976481,-1.093318,-0.512514,0.695206,1.296765,1.351163,1.511967,1.468358,0.376661,-0.269638,-0.93187,-0.870147,-0.475374,0.150557,0.367442,1.039853,1.3252,0.316715,-0.581522,-0.323894,0.921649,0.354575,-0.128395,0.277905,-0.407818,-0.413564,-0.405087,-0.614293,-1.185461,-1.311701,-1.109632,-1.40269,-0.796278,-1.066764,-0.591696,-0.17987,-0.570686,0.231964,0.278854,-0.8367,-0.45416,0.481226,0.060894,-0.334253,0.211161,-0.89591,-0.252607,0.728432,0.359487,-0.347619,-0.767037,-0.915757,0
-0.833544,-0.331813,-0.646199,-0.360908,-0.60488,-1.429144,-1.462206,-0.818523,0.097959,0.435521,0.765512,0.556705,-0.21357,-1.032187,-0.936594,0.282026,0.999392,0.966552,1.131014,1.435558,1.460874,0.762164,-0.272109,-0.139072,0.117898,-0.052129,-1.197014,-2.162512,-1.813421,-0.857207,-0.585887,-1.101312,-0.941925,-0.298965,0.022494,0.465137,0.79026,-0.020928,-0.268741,-0.466842,-0.495888,-0.472317,-1.173019,-0.924857,-0.39064,0.255109,-0.015559,-0.114137,0.193891,0.312913,-0.355477,-0.479572,-0.043785,-1.005487,-0.069189,-0.613941,0.670609,-0.919503,0.187443,-0.14057,0
-0.446435,-0.231692,-0.627983,0.178553,-1.209717,-0.434312,0.360157,0.120971,0.007578,0.326903,0.18603,0.862263,0.832101,-0.178558,-0.236588,0.17113,1.072588,0.462593,-1.093893,-1.141989,0.536192,0.398717,-1.229837,-1.63207,-0.286305,-0.464391,-0.836348,0.706508,0.798444,-0.781555,-1.297595,-1.240594,-1.774803,-1.057047,-0.341799,-0.938765,-0.847421,-0.627108,-1.267864,-1.628816,-0.733161,-0.711163,-0.457157,-0.191123,-0.635977,-0.704291,-1.19781,-0.817474,-1.143931,-0.448155,-0.580318,-0.998568,-0.157094,0.446408,1.369938,1.007367,0.359487,0.193353,-0.443484,0.197333,0
-0.224608,-0.50475,-0.297496,0.064643,-0.75969,-0.901274,-0.518656,-0.745712,-1.022939,-1.259965,-0.321112,-0.048697,0.122691,-0.218686,0.296449,0.521012,-0.434179,-0.331964,0.675567,0.638308,-0.402455,-0.70413,0.206755,0.58819,0.419213,0.819608,0.77647,0.831725,0.911243,1.020941,0.231431,-0.911851,-0.345352,-1.045371,-0.562922,0.649522,0.434714,-1.135153,-0.841893,-1.321531,0.250411,0.570187,0.14431,-0.797316,-0.365579,0.060242,-0.559533,-0.448983,-1.043803,0.159236,-0.830141,0.288542,0.551088,-0.224751,0.269429,0.205429,-0.418321,-0.934959,-0.216998,-0.83625,0
-0.903137,-0.70196,-0.383371,-0.229804,0.358179,-0.496912,-1.300362,-1.278875,-0.919043,-0.245203,-0.293984,-0.953232,-0.744919,-1.308217,-0.497995,0.574311,1.164746,1.243768,0.455015,-0.810753,-0.914443,-1.415002,-1.076745,0.265334,0.783404,0.516102,0.305488,0.388618,-0.319975,-0.984953,-0.705985,-0.246394,-0.388449,-1.01164,-0.501177,-0.247415,-0.93787,-1.102754,-0.792163,-0.672818,-1.004329,-1.096398,-1.15791,-0.892596,-0.650486,-0.485533,-0.918348,-0.812668,-1.149493,-0.184708,-0.871779,1.056656,0.097852,0.364225,0.339975,-0.387307,-0.349182,-0.749483,-0.119932,-0.398965,0
-0.420337,-0.51992,-0.989698,-0.749921,-0.779491,-0.803144,-0.345482,-0.798559,-0.919887,-1.369327,-1.229897,-1.330181,0.190794,0.540095,0.761822,0.351229,-0.373499,-0.138869,0.534863,1.663616,0.985345,-0.402821,-1.324571,-0.323919,0.399207,-0.403268,-1.077335,-0.612693,-0.707905,0.192853,-0.557849,-1.313283,-0.136164,0.545606,-0.16274,0.239104,0.16795,0.767433,1.61598,1.33265,0.383073,-0.447425,-0.419745,-0.972122,-0.433508,-0.012179,-0.761941,-0.476219,-0.490317,1.213022,0.835346,0.236642,-0.468694,2.213336,1.553356,0.118262,0.290348,0.239722,-0.94499,-0.239953,0
0.654,0.281052,-1.013118,0.090434,-0.853295,-0.622112,0.722688,0.166772,-0.680841,-0.606024,-0.942793,-0.090819,-0.51507,-0.502013,-1.018861,-0.751715,-0.64163,0.825459,1.27792,0.998098,0.747193,1.070508,1.276804,0.747945,-0.052357,-1.58399,-2.022148,-0.535961,-0.289174,-0.422325,1.162305,1.505179,0.490431,0.037912,0.630677,0.651415,-0.959545,0.203982,0.679647,0.681698,-0.196667,-0.780505,0.736425,0.388811,-0.678185,-0.176434,0.137398,-0.798248,0.555464,3.166917,0.410647,0.724498,1.542542,0.350528,-0.534789,-0.160672,0.031079,0.394285,-0.330241,0.79363,0
0.08421,0.323528,0.660136,0.627745,-1.211517,-1.430836,-0.382707,-0.389879,0.206924,-0.978748,-0.446955,0.037687,0.056006,-0.148158,0.012163,-0.138347,0.46844,1.295387,1.556615,1.169047,0.613378,-1.284082,-0.928049,-0.285862,-1.460126,-1.4824,-0.351526,0.467458,-0.054835,-0.367058,0.36695,1.064354,-0.023339,-1.19889,-0.555204,0.313313,0.726904,-0.115776,-0.562098,-0.707521,-0.7092,-0.269624,-1.043516,-1.071153,-0.895163,-0.617684,-0.533081,-0.110932,0.202235,-0.997002,-0.596973,-0.489952,-1.063566,0.282042,1.34172,0.327463,2.606485,1.584423,-0.54055,-0.538101,0
-0.372492,-0.765673,0.246377,0.064643,-0.189055,0.653575,0.204787,0.813848,-0.176564,-0.379116,-0.024965,-0.512031,-0.869775,-0.638204,-0.555436,-0.635231,-0.682589,-1.232819,-0.479136,0.086629,-0.61811,-0.534131,1.41111,0.814858,-0.831366,-0.698765,-0.33565,0.085484,-0.339538,-0.942824,-1.198059,-1.158056,-1.349164,-0.305884,-0.402386,-0.234921,-0.429768,-0.636968,-0.433001,-1.003611,-1.291278,-1.451406,-1.258634,-0.87384,-0.781728,-0.809564,-0.833245,-1.094643,-0.82964,-0.440837,1.218408,2.613644,0.565251,-1.252035,0.10012,0.240296,-0.020775,1.55351,0.47864,0.09795,0
-0.859641,-0.662518,-0.104929,-0.386699,-0.127851,-0.574739,-0.319587,-0.534326,-1.18174,-0.561386,-0.796604,-1.591476,-1.481996,-1.370233,-0.972616,-1.318661,-1.113419,-0.831334,-0.528751,-0.651989,-0.452102,0.996646,1.25362,0.861279,0.061555,-0.025993,-0.548549,-0.168743,0.574927,0.799876,0.369754,0.903031,1.905839,2.165125,1.821961,1.077735,0.162114,-0.482019,-0.287829,0.307807,0.218852,-0.345486,0.381732,0.048203,-0.533753,-0.725196,-0.873496,-0.788636,-0.960363,-0.235934,-0.222238,0.070563,1.188451,0.487499,-0.393698,0.815599,2.39907,0.116071,-0.039044,1.131532,0
0.1799,-0.495648,-0.438018,-0.124491,-0.131451,-0.109469,-0.606051,-0.206677,-0.862449,-0.864922,-0.666993,-1.41371,-1.145026,-1.21337,-0.98722,-0.905594,-0.954892,-1.268761,-1.765241,-1.555843,-1.010635,-0.03781,1.069749,1.103002,0.785038,0.747525,0.623411,0.797996,1.489808,1.126491,0.727243,0.519889,0.747558,1.222388,1.118845,0.489747,-0.370163,-0.957196,-0.857465,-0.260866,-0.525109,-0.533362,0.201867,-0.367429,-0.921543,-0.680399,-0.72054,-0.734163,-1.385907,-0.997002,-1.038327,-1.164647,-1.063566,-0.676756,-0.548898,-0.335007,1.120009,0.811606,-0.459662,-0.478472,0
-0.733505,-1.099412,-0.630586,-0.715533,-1.029706,-0.936804,-1.916988,-1.115638,-0.835419,-1.195985,-0.91039,-1.415138,-1.093239,-0.621788,-0.663017,-0.734092,-0.835807,-1.106256,-1.484608,-1.756489,-1.837187,-1.205922,-0.729388,-0.343157,0.008886,0.472262,0.640101,0.96453,0.818423,0.647214,0.582845,0.37076,0.221198,0.528741,0.471299,0.030488,-0.983304,-1.401853,-1.205074,-1.108838,-0.927187,-0.608038,0.13136,-0.139357,-0.868123,-0.76626,-1.041404,-0.982494,-0.687792,-0.953094,-0.097327,-0.095515,0.381124,-1.142458,-0.774643,-1.11951,0.601471,-0.332162,-0.524372,0.117826,0
