@relation vehicle-weka.filters.unsupervised.attribute.Standardize

@attribute COMPACTNESS numeric
@attribute CIRCULARITY numeric
@attribute 'DISTANCE CIRCULARITY' numeric
@attribute 'RADIUS RATIO' numeric
@attribute 'PR.AXIS ASPECT RATIO' numeric
@attribute 'MAX.LENGTH ASPECT RATIO' numeric
@attribute 'SCATTER RATIO' numeric
@attribute ELONGATEDNESS numeric
@attribute 'PR.AXIS RECTANGULARITY' numeric
@attribute 'MAX.LENGTH RECTANGULARITY' numeric
@attribute 'SCALED VARIANCE_MAJOR' numeric
@attribute 'SCALED VARIANCE_MINOR' numeric
@attribute 'SCALED RADIUS OF GYRATION' numeric
@attribute 'SKEWNESS ABOUT_MAJOR' numeric
@attribute 'SKEWNESS ABOUT_MINOR' numeric
@attribute 'KURTOSIS ABOUT_MAJOR' numeric
@attribute 'KURTOSIS ABOUT_MINOR' numeric
@attribute 'HOLLOWS RATIO' numeric
@attribute class {0,1,2,3}

@data
-0.568159,-1.436288,-1.971188,-1.790768,-1.228898,-0.557978,-1.529231,2.05672,-1.382157,-1.308851,-1.644388,-1.323832,-1.527148,1.006792,-0.889946,0.156833,-1.286939,-1.429315,3
0.646248,-0.625897,-0.322648,0.838281,0.926206,-0.557978,0.245473,-0.631603,0.16097,-0.619939,0.426016,0.255181,-0.728291,-0.061731,-0.483306,-0.291034,1.471033,0.452709,2
1.253451,1.481118,1.135676,0.50965,-0.08796,0.311358,1.418583,-1.27168,1.318316,1.72236,1.158621,1.39275,1.391753,0.2054,-0.279986,-0.179067,-0.638004,-0.085012,1
0.889129,1.805274,1.135676,1.376041,0.926206,0.311358,1.177945,-1.143665,1.318316,1.446796,1.222325,1.194666,1.483929,0.2054,-0.076666,-0.850866,-0.47577,-0.353873,0
-1.175362,0.346571,-0.449459,-0.476243,0.292352,-0.557978,-0.44636,0.264505,-0.610593,-0.206592,-0.433998,-0.486219,0.285643,0.338965,-1.296586,-1.074799,-0.638004,-0.488303,2
-1.175362,-1.27421,-1.844377,-1.432261,-0.341502,-0.775311,-1.378832,1.80069,-1.382157,-1.584415,-1.516979,-1.238939,-1.281346,1.273923,0.126654,-1.298732,-1.611406,-1.698176,3
0.039045,-0.301741,-1.146918,0.121268,0.926206,-0.340644,-0.566679,0.264505,-0.610593,-0.413265,-0.625112,-0.542815,0.070566,-0.595992,0.533295,-1.298732,1.633267,1.393722,2
-0.81104,-0.950053,-0.766486,-0.625621,-0.08796,-0.340644,-0.777237,0.648551,-0.996375,-0.826612,-0.784374,-0.752218,-1.035544,-0.462426,-1.093266,-1.186766,0.497632,0.452709,2
0.646248,1.31904,1.452703,1.495543,0.545894,0.528691,1.057626,-1.143665,0.932534,1.171231,1.031211,1.036199,1.514655,-0.595992,-1.296586,-0.7389,0.335398,0.72157,1
-1.053921,0.022415,-0.132432,-0.446368,0.292352,0.094024,-0.656919,0.520535,-0.610593,0.000081,-0.625112,-0.656006,-0.021609,-0.195296,-1.093266,-0.962833,-0.151303,0.452709,3
-1.296803,-1.436288,-1.780972,-1.492012,-0.595044,-0.557978,-1.228433,1.544659,-0.996375,-1.584415,-1.453274,-1.142727,-1.096994,1.273923,-0.076666,-1.074799,-1.611406,-1.698176,1
1.617773,1.481118,1.008865,1.017535,0.419123,0.528691,1.478742,-1.27168,1.704098,1.309013,1.28603,1.449346,1.268852,-0.061731,-1.093266,1.724364,-0.313537,0.452709,1
1.01057,0.022415,0.184595,0.718779,0.292352,-0.557978,0.696669,-1.015649,0.546752,-0.137701,0.903802,0.736243,-0.359587,0.472531,-0.076666,-0.626933,0.984333,-0.353873,2
-1.661125,-1.112132,-1.210323,-1.193256,-0.848585,-0.340644,-0.686998,0.648551,-0.610593,-1.239959,-0.656965,-0.712601,-0.513214,1.407488,0.533295,0.828632,-1.449172,-1.429315,1
-0.568159,-0.301741,0.184595,-0.267114,0.292352,0.528691,-0.416281,0.264505,-0.610593,0.206755,-0.497703,-0.4749,-0.021609,-0.061731,-0.279986,-0.403,-0.638004,0.049418,3
-0.689599,-0.463819,-0.322648,-0.535994,-0.468273,-0.12331,-0.867477,0.776566,-0.996375,-0.413265,-0.752522,-0.831452,-0.513214,-1.130253,0.736615,-0.179067,1.471033,1.259291,1
-0.082396,-1.598366,-1.020107,-0.446368,-0.341502,-0.557978,-0.807317,0.648551,-0.996375,-1.377742,-0.848079,-0.769197,-1.680774,-1.130253,-0.279986,0.044866,1.3088,0.856,0
0.889129,0.508649,1.579513,1.58517,0.799435,0.311358,1.177945,-1.143665,1.318316,0.413428,1.381587,1.138071,0.900149,-0.328861,-0.279986,2.844029,0.173164,0.856,0
-0.81104,-1.112132,0.184595,0.24077,-0.08796,-0.12331,-0.145563,-0.119542,-0.224811,-1.308851,-0.083622,-0.214561,-1.373522,-1.263818,-1.093266,1.388464,1.471033,1.259291,0
0.767689,0.184493,0.501622,0.091392,0.672665,0.094024,-0.356121,0.264505,-0.224811,0.137864,-0.59326,-0.435283,0.285643,-0.729557,2.159855,-0.626933,0.497632,0.58714,3
-1.418243,-0.139663,-0.639675,-1.521888,-1.228898,-0.340644,-0.50652,0.39252,-0.610593,-0.06881,-0.46585,-0.565453,0.070566,1.273923,-0.889946,-1.186766,-1.449172,-1.429315,2
-0.446718,0.508649,0.248,4.094717,8.152142,8.787377,-0.47644,0.39252,-0.610593,0.551211,2.655682,-0.531496,0.777248,6.082274,-1.296586,0.268799,-0.638004,-0.219442,3
1.496333,1.31904,1.008865,0.210895,-0.975356,0.311358,1.418583,-1.27168,1.318316,1.584578,1.477144,1.421048,1.330303,0.2054,-1.093266,-0.403,-0.313537,0.183849,1
-1.539684,0.022415,-0.893296,0.001766,1.433289,-0.557978,-0.5366,0.39252,-0.610593,-0.137701,-0.497703,-0.588091,0.347094,0.338965,0.126654,-1.410699,-0.962471,-0.891594,2
0.160485,0.508649,1.389297,1.346166,0.672665,0.094024,1.087706,-1.143665,0.932534,0.206755,1.222325,1.064496,0.838698,0.2054,-0.279986,-0.403,-0.47577,-0.353873,0
-0.689599,-1.27421,-1.971188,-1.91027,-1.228898,-0.775311,-1.499151,2.05672,-1.382157,-1.377742,-1.708093,-1.318173,-1.527148,1.808184,0.329975,0.380766,-1.611406,-1.698176,3
0.039045,0.670727,0.311406,-0.954252,-0.975356,0.528691,-0.326042,0.264505,-0.224811,0.964558,-0.338441,-0.418305,0.347094,0.338965,-0.279986,-0.850866,-0.962471,-0.219442,3
-0.082396,-1.27421,-0.386053,0.420023,0.165581,-0.12331,-0.145563,-0.119542,-0.224811,-0.964395,0.07564,-0.197582,-1.096994,-0.729557,-0.483306,-0.626933,0.497632,0.183849,1
3.075061,1.481118,1.516108,1.525419,0.419123,0.746025,1.328344,-1.27168,1.318316,1.309013,1.094916,1.330495,1.760457,-0.863122,2.769816,-1.298732,0.497632,0.856,1
-0.082396,0.184493,-0.005621,-0.715248,-0.468273,0.528691,-0.295962,0.264505,-0.224811,0.826775,-0.274736,-0.390007,0.43927,0.606096,-0.889946,-0.962833,-0.962471,-0.219442,3
-0.325277,-0.301741,-0.766486,-1.073754,-0.848585,-0.12331,-1.168274,1.288628,-0.996375,-0.137701,-0.943636,-1.057833,-0.574664,-0.328861,-1.093266,-0.514967,0.173164,-0.219442,3
-1.053921,-0.463819,-1.020107,-1.402385,-0.975356,-0.557978,-0.626839,0.648551,-0.610593,-0.482157,-0.529555,-0.695622,-0.021609,2.075314,-0.076666,0.156833,-1.449172,-1.832606,2
-0.568159,0.346571,-0.069026,-0.655496,0.292352,0.528691,-0.386201,0.39252,-0.224811,1.033449,-0.59326,-0.497538,0.408545,0.472531,-0.076666,0.044866,-0.800238,-0.353873,3
-0.325277,0.022415,-0.195837,0.210895,-0.341502,0.094024,-0.175643,-0.119542,-0.224811,0.000081,-0.147327,-0.203242,0.132017,-1.397384,-1.296586,-0.291034,1.633267,1.662582,1
-1.904006,-1.112132,-1.210323,-1.611514,-1.355668,-0.557978,-0.807317,0.776566,-0.610593,-1.239959,-0.848079,-0.797494,-0.881917,0.606096,-0.889946,-0.962833,-1.286939,-1.429315,1
-0.203837,-1.112132,-0.70308,0.151143,0.545894,-0.340644,-0.44636,0.264505,-0.610593,-1.033286,-0.242884,-0.48056,-1.373522,-0.328861,-0.483306,1.276498,0.010931,-0.085012,1
0.524807,1.643196,1.199081,1.764423,1.052977,0.094024,1.238104,-1.27168,1.318316,1.377905,1.508997,1.251261,2.159885,-0.061731,-1.093266,-0.7389,-0.151303,0.183849,0
0.889129,-0.463819,-1.273729,0.181019,0.672665,-0.557978,-0.596759,0.264505,-0.610593,-0.619939,-0.625112,-0.559793,-0.298137,-0.996688,0.126654,-0.179067,2.119968,1.797013,2
0.889129,1.805274,1.389297,0.479775,-1.102127,-0.557978,2.651852,-1.911757,2.861444,1.377905,2.751239,2.920828,1.699006,1.407488,-0.279986,1.500431,-1.449172,-1.563746,2
0.039045,-1.436288,-1.020107,-0.535994,-0.08796,-0.12331,-1.078035,1.160612,-0.996375,-0.895504,-1.102898,-0.989919,-1.7115,-1.397384,0.533295,-1.074799,1.957734,1.662582,3
0.403367,-0.139663,0.882054,0.77853,0.165581,0.094024,0.486111,-0.631603,0.546752,-0.275483,0.426016,0.407989,-0.298137,-0.863122,-0.483306,-0.514967,0.335398,0.452709,1
-0.568159,0.346571,0.12119,-1.073754,-0.848585,0.528691,-0.356121,0.39252,-0.224811,0.826775,-0.625112,-0.486219,0.039841,0.2054,-0.279986,-0.403,-1.124705,-0.488303,3
1.617773,1.31904,1.325892,1.555294,0.545894,0.528691,1.208025,-1.143665,1.318316,1.033449,1.063063,1.205985,1.145951,-0.863122,-1.296586,-1.298732,0.335398,0.72157,0
-1.053921,-0.950053,-0.893296,-1.492012,-1.228898,-0.775311,-1.228433,1.544659,-0.996375,-0.895504,-1.294012,-1.125748,-1.004818,0.338965,0.329975,-0.514967,-1.124705,-1.160455,3
1.132011,0.832805,1.008865,1.286415,0.165581,0.094024,0.726749,-0.887634,0.546752,0.895666,0.808245,0.719264,0.316369,-1.130253,-0.279986,-0.850866,1.471033,1.124861,0
-2.025446,-1.112132,-1.210323,-1.014003,-0.341502,-0.775311,-1.168274,1.416643,-0.996375,-1.239959,-1.389569,-1.091791,-1.096994,0.873227,1.346575,0.940598,-0.962471,-1.160455,0
0.281926,-0.787975,-0.766486,-1.462136,-1.482439,-0.12331,-0.957716,1.160612,-0.996375,-0.482157,-0.848079,-0.967281,-1.096994,1.006792,0.736615,0.044866,-0.962471,-1.698176,3
-1.296803,-0.463819,-1.020107,-0.386617,0.672665,-0.340644,-0.566679,0.520535,-0.610593,-0.275483,-0.46585,-0.60507,-0.482489,0.739661,-0.483306,-1.186766,-1.124705,-1.026024,2
-0.082396,0.022415,0.248,0.957783,0.926206,-0.340644,0.456031,-0.759619,0.546752,-0.206592,0.457868,0.470244,0.254918,-0.061731,-1.296586,-0.962833,0.822099,0.183849,2
-0.568159,-0.625897,-0.449459,-0.774999,-0.721814,-0.340644,-0.686998,0.648551,-0.610593,-0.757721,-0.59326,-0.695622,-0.574664,0.472531,2.363176,-0.850866,-0.800238,-1.026024,0
-1.539684,-0.301741,-0.893296,-1.312759,-0.595044,-0.12331,-0.596759,0.648551,-0.610593,-0.137701,-0.625112,-0.661665,-0.08306,1.407488,-0.076666,0.604699,-1.611406,-1.563746,2
0.524807,1.643196,1.199081,1.495543,0.926206,0.528691,1.6893,-1.399696,1.704098,2.066816,1.349735,1.743642,1.268852,0.2054,-0.076666,0.156833,-0.313537,-0.085012,0
-0.932481,-0.139663,-0.259243,-0.147612,0.799435,0.094024,-0.807317,0.648551,-0.996375,-0.06881,-0.656965,-0.763537,-0.113785,-0.328861,-1.093266,-0.179067,0.173164,0.72157,3
0.524807,0.670727,0.12119,1.495543,1.56006,-0.340644,0.63651,-0.887634,0.546752,0.413428,0.61713,0.668328,1.053775,0.2054,-0.483306,-0.626933,0.984333,-0.085012,2
0.281926,1.643196,1.008865,-0.237239,-0.975356,0.311358,1.388503,-1.27168,1.318316,1.860143,1.190473,1.375771,1.422479,0.472531,-0.686626,-0.7389,-0.638004,-0.353873,0
0.403367,2.291508,1.642919,1.734548,1.052977,0.528691,1.659221,-1.399696,1.704098,2.617945,1.158621,1.653089,1.330303,-0.328861,0.736615,1.388464,-0.47577,0.318279,0
-0.203837,-0.950053,0.565027,0.659028,0.03881,-0.12331,0.215394,-0.503588,0.16097,-0.757721,0.234902,0.14765,-0.728291,-0.729557,-0.686626,1.164531,0.497632,0.58714,0
-2.511209,-1.27421,-1.844377,-1.731016,-0.975356,-0.557978,-1.288593,1.80069,-0.996375,-1.377742,-1.708093,-1.204982,-0.851192,1.273923,-1.093266,0.268799,-2.098107,-1.563746,0
-0.568159,-0.463819,0.438217,-0.655496,-0.08796,0.528691,-0.5366,0.39252,-0.610593,-0.206592,-0.59326,-0.576772,-0.359587,-0.061731,0.939935,1.164531,-0.313537,0.452709,3
0.889129,1.31904,1.325892,1.017535,0.165581,0.094024,0.786909,-0.887634,0.546752,0.964558,0.680835,0.741902,1.084501,-0.595992,-0.279986,-0.850866,0.335398,0.318279,0
-0.325277,-0.950053,0.057784,0.031641,-0.214731,-0.12331,0.095075,-0.375572,0.16097,-0.964395,0.266754,0.028799,-0.697566,-0.061731,-1.296586,-0.291034,-0.151303,-0.219442,1
-0.932481,-0.787975,-1.273729,-0.864625,0.03881,-0.340644,-0.566679,0.520535,-0.610593,-1.033286,-0.752522,-0.622048,-0.052335,1.273923,-0.889946,-1.074799,-1.449172,-1.429315,1
1.253451,1.156962,0.755243,1.166912,0.545894,-0.775311,1.177945,-1.27168,1.318316,0.895666,1.222325,1.279559,1.330303,0.472531,0.939935,-0.962833,0.659865,-0.622733,2
-0.568159,-0.139663,-0.893296,-1.671265,-1.482439,-0.340644,-0.566679,0.520535,-0.610593,-0.06881,-0.561407,-0.633367,0.43927,2.075314,-0.076666,-0.850866,-1.611406,-1.832606,2
-0.81104,0.184493,-0.70308,-0.29699,0.545894,-0.557978,-0.5366,0.39252,-0.610593,-0.137701,-0.433998,-0.548474,0.43927,0.071835,-0.889946,-1.410699,-0.47577,-0.757164,2
0.646248,0.994884,0.628433,1.017535,0.419123,-0.775311,1.208025,-1.27168,1.318316,0.757884,1.381587,1.307857,1.207402,0.739661,-0.279986,-0.179067,0.335398,-0.891594,2
0.039045,-1.436288,-0.893296,-1.253008,-0.975356,-0.340644,-1.258513,1.416643,-0.996375,-1.102177,-1.071045,-1.120088,-1.803676,-0.863122,-1.093266,-1.186766,0.984333,0.049418,3
-1.782565,-0.787975,-0.132432,-1.073754,-0.848585,-0.340644,-0.656919,0.776566,-0.610593,-0.895504,-0.529555,-0.72958,-0.943368,0.472531,0.329975,1.948297,-1.286939,-0.353873,0
-0.568159,-0.787975,-0.386053,0.569401,1.813602,-0.340644,-0.566679,0.39252,-0.610593,-0.826612,-0.46585,-0.554134,-0.820467,-0.061731,-0.686626,-0.514967,0.659865,0.183849,2
1.982095,2.12943,1.516108,0.330397,-1.355668,-0.557978,2.772171,-1.911757,2.861444,1.584578,2.846796,3.158528,2.528589,1.407488,0.533295,0.044866,-1.286939,-1.832606,2
-0.568159,-0.625897,0.12119,-0.83475,-0.468273,0.094024,-0.596759,0.520535,-0.610593,-0.206592,-0.529555,-0.622048,-0.390313,-0.061731,-0.483306,0.604699,-0.151303,0.58714,3
-0.932481,-1.27421,-1.400539,-1.611514,-0.975356,-0.775311,-1.499151,1.928705,-1.382157,-1.102177,-1.516979,-1.306853,-1.404247,-0.061731,-0.889946,-0.514967,-0.47577,-0.757164,3
-0.325277,-0.463819,0.12119,1.196788,1.686831,-0.557978,0.064995,-0.375572,-0.224811,-0.68883,0.011935,0.034459,-0.421038,-0.462426,-0.686626,-0.067101,1.146566,0.72157,2
-1.661125,-1.27421,-1.590756,-1.581639,-0.848585,-0.557978,-1.318673,1.672674,-0.996375,-1.584415,-1.485126,-1.193663,-1.312071,1.140357,0.329975,-0.850866,-1.77364,-1.563746,0
1.253451,1.643196,1.579513,1.58517,0.799435,0.528691,1.478742,-1.27168,1.318316,1.72236,1.381587,1.488962,1.668281,-0.195296,-0.686626,-0.291034,-0.151303,0.452709,1
0.039045,-1.112132,0.12119,-0.326865,-0.848585,0.094024,0.004836,-0.247557,-0.224811,-1.239959,0.234902,-0.056094,-0.60539,-0.462426,0.533295,0.268799,0.173164,-0.085012,0
1.253451,1.156962,1.135676,0.659028,-0.341502,0.094024,0.847068,-1.015649,0.932534,0.688993,0.935654,0.809817,1.821907,-0.328861,0.736615,-0.291034,0.335398,0.318279,1
0.039045,0.508649,0.311406,-0.207363,0.292352,0.311358,-0.356121,0.264505,-0.224811,0.895666,-0.306588,-0.435283,0.347094,0.338965,-0.483306,0.268799,-0.800238,-0.085012,3
-1.175362,0.022415,-1.020107,-0.446368,0.419123,-0.557978,-0.717078,0.648551,-0.610593,-0.275483,-0.656965,-0.72392,0.070566,0.071835,-0.889946,-1.074799,-0.800238,-1.026024,2
0.403367,0.832805,1.642919,1.256539,0.419123,0.311358,1.358423,-1.27168,1.318316,0.551211,1.381587,1.375771,1.330303,-0.061731,0.126654,1.836331,-0.151303,0.183849,0
-0.568159,-0.463819,-0.132432,-0.535994,0.03881,-0.557978,-0.747158,0.648551,-0.610593,-0.619939,-0.720669,-0.746558,-0.144511,0.2054,2.159855,0.044866,-0.638004,-0.891594,1
-0.932481,-0.301741,-0.893296,-0.506119,0.03881,-0.340644,-0.566679,0.39252,-0.610593,-0.413265,-0.306588,-0.582432,-0.328862,0.338965,-0.483306,-0.403,-0.151303,-0.488303,2
0.160485,0.184493,1.452703,1.495543,0.799435,0.094024,0.967387,-1.015649,0.932534,0.000081,1.094916,0.917348,0.807973,-0.462426,-0.279986,2.844029,0.335398,0.856,0
-0.81104,-0.139663,-1.083512,-1.342634,-0.721814,-0.557978,-0.596759,0.648551,-0.610593,-0.275483,-0.59326,-0.672984,-0.113785,1.941749,-0.483306,-0.067101,-1.611406,-1.832606,2
-1.418243,0.022415,-1.020107,2.481437,8.152142,9.439378,-0.626839,0.520535,-0.610593,-0.275483,1.540849,-0.644687,0.316369,6.215839,-1.093266,-1.298732,-1.286939,-1.429315,2
0.160485,-0.463819,0.184595,0.151143,0.545894,0.094024,-0.47644,0.39252,-0.610593,-0.275483,-0.656965,-0.525836,-0.759016,-0.996688,0.939935,-0.850866,1.146566,1.124861,3
0.039045,-0.463819,-0.893296,-0.56587,0.292352,-0.340644,-1.228433,1.416643,-0.996375,-0.344374,-1.102898,-1.09745,-0.482489,-0.462426,1.549895,-0.850866,0.497632,0.049418,3
-0.203837,-1.112132,-1.400539,-1.163381,0.03881,-0.775311,-1.64955,2.184736,-1.382157,-1.102177,-1.708093,-1.391747,-1.158445,-0.061731,1.549895,-0.850866,0.173164,-0.219442,3
1.01057,0.022415,0.057784,0.868157,0.419123,-0.775311,0.756829,-1.015649,0.546752,-0.137701,1.158621,0.7702,-0.236686,0.873227,-1.296586,1.612397,0.659865,-0.622733,2
1.739214,1.31904,1.325892,0.987659,0.292352,0.311358,1.538902,-1.399696,1.704098,1.377905,1.126768,1.534239,1.207402,0.071835,0.939935,-0.291034,-0.151303,0.452709,1
0.646248,0.184493,1.452703,1.196788,0.292352,0.528691,0.847068,-0.887634,0.932534,0.275646,0.74454,0.76454,-0.482489,-0.996688,-1.296586,2.284197,0.822099,1.259291,0
-1.053921,-0.950053,-0.322648,-0.535994,-0.341502,-0.12331,-0.566679,0.520535,-0.610593,-0.964395,-0.402146,-0.616389,-1.281346,0.071835,-1.296586,0.380766,-0.800238,-0.353873,0
-1.661125,-0.139663,-0.893296,-1.014003,-0.341502,-0.12331,-0.566679,0.520535,-0.610593,-0.206592,-0.59326,-0.627708,-0.052335,1.006792,0.126654,-0.067101,-1.449172,-1.429315,2
0.646248,0.508649,-0.195837,0.898032,0.799435,-0.557978,0.486111,-0.759619,0.546752,0.344537,0.426016,0.475904,-0.113785,0.2054,-0.279986,-0.514967,0.984333,-0.085012,2
-0.568159,-0.787975,-0.322648,-0.29699,0.419123,0.094024,-0.747158,0.648551,-0.610593,-0.482157,-0.656965,-0.712601,-0.974093,-0.328861,-1.296586,-0.850866,0.173164,0.58714,3
0.039045,0.508649,0.057784,-0.207363,0.292352,0.311358,-0.386201,0.264505,-0.610593,0.344537,-0.370293,-0.469241,0.377819,0.2054,-0.483306,0.156833,-0.638004,0.049418,3
-2.025446,-1.112132,-0.449459,-0.745123,-0.341502,-0.557978,-0.656919,0.648551,-0.610593,-1.102177,-0.688817,-0.706942,-1.18917,1.006792,1.956535,0.828632,-1.286939,-1.160455,0
-0.689599,-1.598366,-2.034593,-1.432261,-0.468273,-0.775311,-1.64955,2.312751,-1.382157,-1.791089,-1.80365,-1.403066,-1.127719,0.2054,2.973136,-0.962833,-1.124705,-1.160455,0
-0.082396,-0.301741,0.184595,-1.073754,-0.975356,0.311358,-0.416281,0.39252,-0.610593,0.344537,-0.46585,-0.503198,-0.298137,0.338965,1.143255,0.044866,-0.800238,0.049418,3
0.160485,0.346571,0.374811,-0.207363,0.292352,0.528691,-0.295962,0.264505,-0.224811,0.620102,-0.402146,-0.390007,0.316369,-0.195296,1.143255,0.044866,0.010931,0.318279,3
0.767689,0.022415,1.135676,1.196788,0.419123,-0.12331,0.967387,-1.143665,0.932534,-0.06881,1.349735,0.968284,0.43927,-0.061731,-0.279986,-0.850866,0.010931,-0.085012,0
1.860655,1.31904,1.706324,1.555294,0.926206,0.746025,1.568982,-1.27168,1.704098,1.446796,1.190473,1.539898,1.145951,-0.061731,1.346575,1.724364,-0.151303,0.72157,1
-1.053921,-0.301741,-1.146918,-1.223132,-0.721814,-0.12331,-0.566679,0.648551,-0.610593,-0.275483,-0.656965,-0.656006,-0.052335,1.273923,0.533295,0.156833,-1.449172,-1.563746,2
-0.082396,0.670727,-0.195837,0.330397,0.419123,-0.340644,0.125154,-0.503588,0.16097,0.688993,0.011935,0.130671,0.592896,-0.328861,-0.279986,-0.291034,1.3088,0.856,2
-0.568159,-1.27421,-1.780972,-1.492012,-1.102127,-0.775311,-1.047955,1.160612,-0.996375,-1.446633,-1.198455,-0.984259,-0.881917,0.873227,1.956535,0.156833,-0.800238,-1.429315,1
-0.446718,0.508649,-0.259243,-0.804874,-0.341502,0.528691,-0.265882,0.264505,-0.224811,0.826775,-0.497703,-0.395666,0.316369,0.472531,0.736615,-0.179067,-0.962471,-0.488303,3
-0.203837,-0.787975,-0.005621,-0.177488,0.165581,0.094024,-0.686998,0.520535,-0.610593,-0.551048,-0.752522,-0.684303,-1.158445,-1.130253,0.533295,-1.410699,1.633267,1.393722,3
-0.446718,-1.436288,-1.590756,-1.163381,-0.595044,-0.557978,-1.438992,1.928705,-1.382157,-1.446633,-1.644388,-1.267237,-1.312071,-0.595992,3.176456,1.164531,0.173164,-0.085012,1
-1.053921,0.022415,-0.70308,-0.56587,0.165581,-0.12331,-0.777237,0.648551,-0.610593,-0.06881,-0.561407,-0.752218,0.132017,-0.061731,-0.889946,-1.074799,-0.313537,0.049418,3
-0.446718,0.184493,-0.132432,-0.774999,0.03881,0.528691,-0.295962,0.264505,-0.224811,0.551211,-0.625112,-0.418305,0.347094,0.2054,2.159855,-0.626933,-0.638004,-0.353873,3
-0.568159,-0.463819,-0.766486,-0.625621,0.03881,-0.340644,-0.656919,0.520535,-0.610593,-0.344374,-0.402146,-0.661665,-0.66684,0.472531,-0.889946,-0.7389,-0.47577,-0.891594,2
